feature,lr_coef_abs,shap_lr,shap_mlp,attention_weight
age,1.0,1.0,1.0,1.0
hypertension,0.15435818047365782,0.04111491931993104,0.060160474926741654,0.20335989736720803
heart_disease,0.033301463794314805,0.003494597006401583,0.04574564560498144,0.36257680454819996
ever_married,0.0,0.0,0.06845996867832609,0.27719348059764426
avg_glucose_level,0.16039445541213423,0.14041249763074812,0.14136922923043657,0.2668218639964584
bmi,0.0,0.0,0.20932719209021777,0.5793127379697658
work_type_Govt_job,0.0,0.0,0.07072967377876292,0.3498168289085506
work_type_Never_worked,0.0,0.0,0.0,0.0
work_type_Private,0.0,0.0,0.13427995830464368,0.17384305436868924
work_type_Self-employed,0.0,0.0,0.17157413422486573,0.2734062464356119
work_type_children,0.0,0.0,0.14454915590140788,0.010182866752608205
smoking_status_formerly smoked,0.0,0.0,0.10429259278450162,0.3099489394842681
smoking_status_never smoked,0.045481428896442404,0.026086254234994787,0.10191108181042051,0.2923066430276481
smoking_status_smokes,0.0,0.0,0.040241300654566485,0.34383489806194595
